Team1,score,Team2
Fortaleza EC CE,2 - 2,Botafogo
Flamengo,vs,Bragantino
Defensa Y Justicia,0 - 0,San Lorenzo
Fredericia,0 - 4,B93 Copenhagen
Falkenberg,2 - 2,Skovde AIK
Assyriska United,0 - 1,Orgryte
Petro Atletico de Luanda,vs,Al-Hilal Omdurman
El Ahly Cairo,vs,Kessben
Esperance Sportive de Tunis,vs,ES du Sahel
Yantra Gabrovo,1 - 4,Slavia Sofia
FK Metalac Gornji Milanovac,1 - 2,Macva Sabac
Gadaffi,2 - 2,Bright Stars
Mbarara,vs,SC Villa
Vipers,2 - 0,Uganda Revenue Authority FC
Egnatia,1 - 1,Partizani Tirana
KS Dinamo Tirana,1 - 0,Erzeni
Tirana,3 - 2,KS Perparimi Kukesi
Besa Kavaje,0 - 1,FK Vora
Madura United,1 - 2,Persisam Putra Samarinda
Persita Tangerang,3 - 0,Cilegon United
PSM Makassar,3 - 1,Pstni
NK Primorje,1 - 3,Maribor
Tinex Sencur,0 - 2,Mura
Club Always Ready,3 - 0,Royal Pari
Vaca Diez,2 - 2,The Strongest
Aurora,1 - 1,Blooming
Palestino,0 - 2,Everton CD
Atletico Nacional,vs,Los Millionarios
Guairena,3 - 1,Resistencia SC
Tacuary,1 - 0,Sportivo Luqueno
Atletico San Luis,vs,Leon
Santos Laguna,vs,Mazatlan FC
Mineros de Zacatecas,vs,Cancun
Araz Saatli,0 - 1,FK MOIK Baku
Energetik Mingechevir,0 - 1,Zaqatala FK
FK Mughan,0 - 0,Qaradag Lokbatan
FC Saburtalo Tbilisi,2 - 2,Samgurali Tskh
Esteghlal Khozestan,1 - 3,Sepahan
Shahrdari Astara,1 - 0,Kheybar Khorramabad
Mes,0 - 0,Mes Shahr-e Babak
Khalij Fars,0 - 1,Esteghlal Mollasani
Guatemala(U20),1 - 0,Nicaragua(U20)
Vonds Ichihara,vs,Tochigi City
